date,min,max,zero_count,zero_percent,average,standard_deviation,variance
2022-09-18 11:38:17,140,196,123,0,101,101,99
2022-09-18 11:38:17,178,153,124,104,100,100,101
2022-09-18 11:38:17,110,190,144,117,99,99,101
2022-09-18 11:38:17,156,195,184,0,101,100,99
2022-09-18 11:38:17,138,104,163,0,99,101,101
2022-09-18 11:38:17,199,106,105,181,100,100,99
2022-09-18 11:38:17,199,188,113,113,100,101,100
2022-09-18 11:38:17,135,101,151,142,99,101,100
2022-09-18 11:38:17,115,200,180,168,99,100,101
2022-09-18 11:38:17,116,185,160,107,101,101,99
2022-09-18 11:38:17,175,110,112,119,100,101,99
2022-09-18 11:38:17,130,138,112,132,100,100,101
2022-09-18 11:38:17,103,127,116,0,101,100,100
2022-09-18 11:38:17,109,143,179,138,100,99,101
2022-09-18 11:38:17,187,135,117,114,99,101,100
2022-09-18 11:38:17,163,153,177,174,99,100,100
2022-09-18 11:38:17,158,143,130,131,101,101,100
2022-09-18 11:38:17,183,126,189,0,99,101,101
2022-09-18 11:38:17,121,134,114,152,99,100,99
2022-09-18 11:38:17,196,171,102,128,99,100,100
2022-09-18 11:38:17,127,200,187,126,101,99,100
2022-09-18 11:38:17,138,118,125,0,101,101,100
2022-09-18 11:38:17,123,196,133,0,99,100,101
2022-09-18 11:38:17,173,130,129,170,101,99,100
2022-09-18 11:38:17,183,134,177,131,100,100,100
2022-09-18 11:38:17,172,124,172,187,99,99,101
2022-09-18 11:38:17,193,133,170,154,101,100,99
2022-09-18 11:38:17,191,169,119,114,100,99,101
2022-09-18 11:38:17,181,195,105,169,100,101,101
2022-09-18 11:38:17,177,180,195,113,99,100,100
2022-09-18 11:38:17,169,118,142,199,100,100,100
2022-09-18 11:38:17,146,187,164,167,101,101,101
2022-09-18 11:38:17,196,143,106,0,100,101,101
2022-09-18 11:38:17,184,137,177,173,100,101,101
2022-09-18 11:38:17,179,114,172,112,99,99,100
2022-09-18 11:38:17,142,111,101,177,101,99,101
2022-09-18 11:38:17,103,112,163,178,101,100,99
2022-09-18 11:38:17,167,166,106,0,100,101,99
2022-09-18 11:38:17,189,118,173,106,99,99,99
2022-09-18 11:38:17,167,171,144,0,99,101,100
2022-09-18 11:38:17,130,161,101,189,100,100,101
2022-09-18 11:38:17,119,180,183,153,101,100,101
2022-09-18 11:38:17,153,113,196,0,100,100,99
2022-09-18 11:38:17,153,107,141,109,99,101,100
2022-09-18 11:38:17,166,132,188,0,99,100,101
2022-09-18 11:38:17,122,112,179,128,101,100,100
2022-09-18 11:38:17,132,127,200,128,99,101,100
2022-09-18 11:38:17,130,195,153,116,99,99,100
2022-09-18 11:38:17,173,108,121,153,101,100,99
2022-09-18 11:38:17,125,189,191,0,100,99,101
2022-09-18 11:38:17,121,154,129,180,99,101,100
2022-09-18 11:38:17,187,113,153,152,100,101,99
2022-09-18 11:38:17,150,195,194,142,99,100,101
2022-09-18 11:38:17,153,148,157,0,100,99,101
2022-09-18 11:38:17,156,187,102,127,100,100,101
2022-09-18 11:38:17,104,156,125,126,100,100,101
2022-09-18 11:38:17,104,198,166,0,101,100,101
2022-09-18 11:38:17,171,185,182,145,101,100,99
2022-09-18 11:38:17,133,158,120,116,99,100,99
2022-09-18 11:38:17,138,109,120,155,99,100,99
2022-09-18 11:38:17,198,101,139,130,101,101,100
2022-09-18 11:38:17,190,133,131,196,100,101,99
2022-09-18 11:38:17,182,135,176,169,99,101,100
2022-09-18 11:38:17,141,137,118,140,99,100,99
2022-09-18 11:38:17,139,181,163,175,100,100,99
2022-09-18 11:38:17,119,190,125,146,100,99,101
2022-09-18 11:38:17,185,152,174,181,100,99,101
2022-09-18 11:38:17,181,197,178,0,99,101,99
2022-09-18 11:38:17,106,152,167,162,101,101,100
2022-09-18 11:38:17,126,158,119,127,101,99,100
2022-09-18 11:38:17,165,190,118,108,99,99,99
2022-09-18 11:38:17,134,147,165,192,101,101,100
2022-09-18 11:38:17,153,125,198,104,101,101,100
2022-09-18 11:38:17,183,171,157,190,101,100,100
2022-09-18 11:38:17,193,168,153,117,101,101,101
2022-09-18 11:38:17,147,200,125,0,99,101,101
2022-09-18 11:38:17,161,168,115,102,99,99,100
2022-09-18 11:38:17,117,193,108,193,101,99,100
2022-09-18 11:38:17,151,187,187,0,100,99,101
2022-09-18 11:38:17,136,167,160,158,99,100,100
2022-09-18 11:38:17,187,140,105,159,100,101,99
2022-09-18 11:38:17,132,113,118,0,100,101,101
2022-09-18 11:38:17,182,175,136,0,99,100,100
2022-09-18 11:38:17,131,199,149,162,100,101,99
2022-09-18 11:38:17,161,148,183,195,100,100,101
2022-09-18 11:38:17,182,200,182,0,101,99,101
2022-09-18 11:38:17,128,111,182,0,99,99,99
2022-09-18 11:38:17,146,147,161,148,101,100,101
2022-09-18 11:38:17,177,109,130,135,101,99,101
2022-09-18 11:38:17,104,156,174,137,100,101,100
2022-09-18 11:38:17,189,150,152,156,100,101,99
2022-09-18 11:38:17,156,157,147,115,101,99,100
2022-09-18 11:38:17,155,146,153,143,99,99,99
2022-09-18 11:38:17,163,127,154,137,100,100,99
2022-09-18 11:38:17,133,162,141,125,100,99,100
2022-09-18 11:38:17,121,109,182,108,101,101,101
2022-09-18 11:38:17,152,152,170,175,100,101,99
2022-09-18 11:38:17,194,160,166,127,101,100,100
2022-09-18 11:38:17,127,111,134,0,100,101,100
2022-09-18 11:38:17,142,125,197,147,101,101,101
2022-09-18 11:38:17,127,135,137,137,101,100,99
2022-09-18 11:38:17,192,162,114,163,101,99,99
2022-09-18 11:38:17,183,137,150,109,101,101,100
2022-09-18 11:38:17,148,105,121,112,100,99,100
2022-09-17 11:38:17,109,125,0,103,100,101,100
2022-09-17 11:38:17,147,133,0,151,100,100,99
2022-09-17 11:38:17,102,176,0,102,101,101,101
2022-09-17 11:38:17,152,110,0,0,99,101,100
2022-09-17 11:38:17,118,118,0,156,99,99,99
2022-09-17 11:38:17,168,125,0,156,101,99,101
2022-09-17 11:38:17,129,103,163,0,100,101,101
2022-09-17 11:38:17,191,117,129,103,99,99,101
2022-09-17 11:38:17,187,142,151,155,101,99,101
2022-09-17 11:38:17,106,148,193,128,99,100,101
2022-09-17 11:38:17,183,137,123,186,99,101,100
2022-09-17 11:38:17,187,128,128,177,99,100,100
2022-09-17 11:38:17,163,141,110,161,101,100,100
2022-09-17 11:38:17,148,159,153,143,100,99,99
2022-09-17 11:38:17,191,155,188,182,101,101,99
2022-09-17 11:38:17,166,132,189,175,100,101,99
2022-09-17 11:38:17,138,125,155,126,100,100,100
2022-09-17 11:38:17,188,164,172,0,100,101,99
2022-09-17 11:38:17,194,139,142,184,101,99,99
2022-09-17 11:38:17,135,180,137,102,99,99,101
2022-09-17 11:38:17,127,168,175,115,101,101,99
2022-09-17 11:38:17,121,120,127,111,101,99,100
2022-09-17 11:38:17,187,129,156,103,99,100,100
2022-09-17 11:38:17,131,139,117,121,99,101,101
2022-09-17 11:38:17,197,120,132,153,101,100,101
2022-09-17 11:38:17,147,191,127,109,100,99,99
2022-09-17 11:38:17,117,144,183,107,101,101,101
2022-09-17 11:38:17,119,164,142,0,101,100,101
2022-09-17 11:38:17,186,109,178,148,101,101,100
2022-09-17 11:38:17,113,195,152,166,101,99,99
2022-09-17 11:38:17,163,149,139,142,100,99,99
2022-09-17 11:38:17,129,119,147,157,101,101,101
2022-09-17 11:38:17,178,137,138,107,100,100,99
2022-09-17 11:38:17,176,122,164,100,99,99,100
2022-09-17 11:38:17,175,177,158,106,100,99,100
2022-09-17 11:38:17,107,137,154,0,100,101,100
2022-09-17 11:38:17,106,156,125,121,100,100,101
2022-09-17 11:38:17,163,112,110,0,99,99,99
2022-09-17 11:38:17,150,140,167,104,99,99,99
2022-09-17 11:38:17,199,183,147,122,101,99,101
2022-09-17 11:38:17,138,152,127,0,99,99,100
2022-09-17 11:38:17,133,190,147,158,99,100,100
2022-09-17 11:38:17,121,137,162,128,100,101,101
2022-09-17 11:38:17,129,166,137,0,100,99,99
2022-09-17 11:38:17,199,157,101,110,100,101,101
2022-09-17 11:38:17,144,121,163,161,100,101,100
2022-09-17 11:38:17,184,182,128,170,99,101,100
2022-09-17 11:38:17,193,186,149,142,99,99,100
2022-09-17 11:38:17,184,162,159,182,101,100,99
2022-09-17 11:38:17,136,132,129,104,99,101,100
2022-09-17 11:38:17,106,120,172,0,100,100,101
2022-09-17 11:38:17,105,156,118,0,101,100,99
2022-09-17 11:38:17,149,184,158,108,100,99,101
2022-09-17 11:38:17,158,121,153,110,100,100,100
2022-09-17 11:38:17,200,109,119,140,101,100,100
2022-09-17 11:38:17,142,155,196,117,101,100,101
2022-09-17 11:38:17,119,160,111,125,99,100,100
2022-09-17 11:38:17,116,145,177,149,100,100,101
2022-09-17 11:38:17,129,162,197,0,101,99,100
2022-09-17 11:38:17,124,168,183,189,100,101,99
2022-09-17 11:38:17,192,114,132,0,99,101,100
2022-09-17 11:38:17,137,193,134,122,99,100,100
2022-09-17 11:38:17,134,105,177,111,101,101,99
2022-09-17 11:38:17,192,146,105,0,99,101,100
2022-09-17 11:38:17,163,119,141,112,101,100,101
2022-09-17 11:38:17,184,128,187,152,99,101,99
2022-09-17 11:38:17,119,160,162,169,99,100,101
2022-09-17 11:38:17,150,160,150,146,99,99,101
2022-09-17 11:38:17,106,182,188,0,100,101,99
2022-09-17 11:38:17,110,175,194,148,101,100,100
2022-09-17 11:38:17,133,135,127,101,101,100,101
2022-09-17 11:38:17,105,171,160,176,100,101,100
2022-09-17 11:38:17,126,164,109,157,100,99,99
2022-09-17 11:38:17,104,199,115,174,101,99,101
2022-09-17 11:38:17,120,167,194,114,100,99,100
2022-09-17 11:38:17,140,199,100,128,99,99,99
2022-09-17 11:38:17,188,163,194,0,101,100,99
2022-09-17 11:38:17,176,153,172,109,100,100,99
2022-09-17 11:38:17,191,176,162,138,99,100,100
2022-09-17 11:38:17,181,194,170,186,100,100,101
2022-09-17 11:38:17,124,199,140,117,101,99,100
2022-09-17 11:38:17,182,113,159,181,100,99,99
2022-09-17 11:38:17,158,186,132,118,99,99,99
2022-09-17 11:38:17,140,152,108,0,100,101,100
2022-09-17 11:38:17,164,137,177,167,101,101,101
2022-09-17 11:38:17,150,196,112,0,101,99,101
2022-09-17 11:38:17,118,174,191,112,101,99,99
2022-09-17 11:38:17,143,140,190,139,99,99,101
2022-09-17 11:38:17,148,137,115,100,101,100,99
2022-09-17 11:38:17,126,111,123,195,101,100,100
2022-09-17 11:38:17,148,193,153,0,100,101,100
2022-09-17 11:38:17,200,178,151,188,100,100,100
2022-09-17 11:38:17,146,174,169,168,99,100,99
2022-09-17 11:38:17,163,129,166,0,101,101,100
2022-09-17 11:38:17,181,126,160,111,100,99,100
2022-09-17 11:38:17,177,181,110,110,99,100,100
2022-09-17 11:38:17,192,161,166,0,99,100,100
2022-09-17 11:38:17,184,119,110,0,100,101,100
2022-09-17 11:38:17,168,154,140,180,101,101,100
2022-09-17 11:38:17,177,104,110,172,99,100,99
2022-09-17 11:38:17,138,110,153,167,99,99,100
2022-09-17 11:38:17,135,171,100,120,99,100,100
2022-09-17 11:38:17,168,113,138,0,100,99,100
2022-09-17 11:38:17,123,185,106,172,101,100,99
2022-09-17 11:38:17,161,194,161,112,100,99,99
2022-09-17 11:38:17,111,122,172,0,101,101,99
2022-09-17 11:38:17,161,183,161,157,99,99,100
2022-09-17 11:38:17,189,108,148,181,101,100,99
2022-09-17 11:38:17,156,133,157,169,99,100,99
2022-09-17 11:38:17,125,156,175,185,99,100,99
2022-09-17 11:38:17,140,115,168,157,101,99,101
2022-09-17 11:38:17,104,171,136,123,99,101,100
2022-09-17 11:38:17,175,116,128,0,99,100,100
2022-09-17 11:38:17,162,134,186,0,101,99,100
2022-09-17 11:38:17,186,162,118,187,101,99,101
2022-09-17 11:38:17,187,189,123,0,99,101,99
2022-09-17 11:38:17,176,155,200,0,100,101,100
2022-09-17 11:38:17,192,190,117,187,99,99,99
2022-09-17 11:38:17,138,101,136,176,101,99,101
2022-09-17 11:38:17,120,148,101,141,100,101,99
2022-09-17 11:38:17,117,100,177,103,100,101,100
2022-09-17 11:38:17,111,146,138,109,100,99,99
2022-09-17 11:38:17,200,104,152,0,99,100,100
2022-09-17 11:38:17,163,199,131,102,101,99,100
2022-09-17 11:38:17,178,117,147,0,99,100,99
2022-09-17 11:38:17,134,129,199,157,101,100,99
2022-09-17 11:38:17,191,127,141,0,100,100,100
2022-09-17 11:38:17,193,139,155,109,99,100,99
2022-09-17 11:38:17,141,146,103,160,99,101,100
2022-09-17 11:38:17,129,189,132,121,99,99,101
2022-09-17 11:38:17,110,153,153,153,101,100,101
2022-09-17 11:38:17,188,189,172,105,101,101,100
2022-09-17 11:38:17,197,107,141,139,100,101,101
2022-09-17 11:38:17,133,141,133,132,100,99,100
2022-09-17 11:38:17,173,197,199,128,100,99,101
2022-09-17 11:38:17,182,194,111,197,100,100,101
2022-09-17 11:38:17,170,103,140,178,99,101,100
2022-09-17 11:38:17,119,187,136,186,100,99,101
2022-09-17 11:38:17,114,114,153,169,100,101,99
2022-09-17 11:38:17,184,146,106,195,100,101,101
2022-09-17 11:38:17,186,137,116,0,100,101,101
2022-09-17 11:38:17,160,104,190,105,99,99,99
2022-09-17 11:38:17,105,120,101,115,101,101,99
2022-09-17 11:38:17,143,185,163,152,100,99,99
2022-09-17 11:38:17,161,173,143,134,101,101,101
2022-09-17 11:38:17,122,172,194,105,101,99,99
2022-09-17 11:38:17,131,191,185,181,101,100,101
2022-09-17 11:38:17,186,122,165,110,101,101,100
2022-09-17 11:38:17,197,169,150,109,101,100,99
2022-09-17 11:38:17,181,176,108,123,100,101,101
2022-09-17 11:38:17,104,109,130,198,100,100,99
2022-09-17 11:38:17,199,187,115,170,100,99,100
2022-09-17 11:38:17,177,115,145,151,100,101,100
2022-09-17 11:38:17,103,115,100,185,101,100,99
2022-09-17 11:38:17,107,198,115,172,101,99,100
2022-09-17 11:38:17,114,159,134,100,100,101,101
2022-09-17 11:38:17,109,184,129,184,100,99,100
2022-09-17 11:38:17,124,131,146,196,100,100,100
2022-09-17 11:38:17,104,119,192,175,99,101,99
2022-09-17 11:38:17,153,149,122,0,99,101,99
2022-09-17 11:38:17,137,164,117,0,99,99,99
2022-09-17 11:38:17,195,193,183,180,100,99,100
2022-09-17 11:38:17,114,121,174,120,99,99,99
2022-09-17 11:38:17,163,174,126,138,100,101,100
2022-09-17 11:38:17,104,187,109,191,101,100,101
2022-09-17 11:38:17,175,179,114,133,99,100,99
2022-09-17 11:38:17,166,142,132,133,99,100,99
2022-09-17 11:38:17,156,110,163,115,100,100,99
2022-09-17 11:38:17,156,130,162,128,99,101,100
2022-09-17 11:38:17,152,125,187,102,100,99,101
2022-09-17 11:38:17,117,152,142,188,99,101,99
2022-09-17 11:38:17,199,133,135,120,99,100,100
2022-09-17 11:38:17,150,143,200,139,99,101,100
2022-09-17 11:38:17,124,147,151,183,99,101,101
2022-09-17 11:38:17,102,150,198,0,99,99,101
2022-09-17 11:38:17,134,121,159,124,99,99,101
2022-09-17 11:38:17,132,182,184,0,99,100,101
2022-09-17 11:38:17,177,181,118,177,100,99,101
2022-09-17 11:38:17,118,106,139,0,100,101,99
2022-09-17 11:38:17,161,182,159,180,100,101,99
2022-09-17 11:38:17,152,151,161,115,101,99,99
2022-09-17 11:38:17,192,140,139,173,101,99,99
2022-09-17 11:38:17,113,174,193,0,100,100,99
2022-09-17 11:38:17,144,132,170,200,99,100,99
2022-09-17 11:38:17,189,134,100,0,100,101,99
2022-09-17 11:38:17,198,124,103,0,101,100,101
2022-09-17 11:38:17,108,117,162,161,100,101,100
2022-09-17 11:38:17,163,153,163,102,100,100,99
2022-09-17 11:38:17,138,189,176,192,99,101,101
2022-09-17 11:38:17,121,185,164,0,101,101,100
2022-09-17 11:38:17,177,176,102,107,99,100,99
2022-09-17 11:38:17,119,117,151,102,101,101,100
2022-09-17 11:38:17,175,122,115,183,99,99,101
2022-09-17 11:38:17,118,114,114,155,100,100,99
2022-09-17 11:38:17,100,177,178,104,99,100,99
2022-09-17 11:38:17,161,107,166,176,100,100,101
2022-09-17 11:38:17,149,158,153,0,99,100,99
2022-09-17 11:38:17,124,129,199,146,101,101,99
2022-09-17 11:38:17,142,100,173,104,99,99,99
2022-09-17 11:38:17,132,113,137,115,99,101,99
2022-09-16 11:38:17,174,153,0,132,99,101,101
2022-09-16 11:38:17,178,170,0,107,101,101,99
2022-09-16 11:38:17,171,168,0,0,101,101,99
2022-09-16 11:38:17,110,174,0,141,101,99,99
2022-09-16 11:38:17,118,144,0,162,101,101,101
2022-09-16 11:38:17,157,122,0,0,99,100,100
2022-09-16 11:38:17,122,116,118,189,101,99,99
2022-09-16 11:38:17,195,122,176,132,101,101,101
2022-09-16 11:38:17,184,138,162,101,101,99,99
2022-09-16 11:38:17,197,174,136,0,100,101,99
2022-09-16 11:38:17,137,193,101,168,100,101,99
2022-09-16 11:38:17,162,178,185,125,101,100,100
2022-09-16 11:38:17,165,153,159,165,101,99,99
2022-09-16 11:38:17,107,126,144,167,99,100,99
2022-09-16 11:38:17,141,156,138,142,101,100,99
2022-09-16 11:38:17,112,173,175,0,101,101,99
2022-09-16 11:38:17,179,107,154,110,99,101,100
2022-09-16 11:38:17,130,128,187,109,100,101,101
2022-09-16 11:38:17,143,177,159,162,100,100,100
2022-09-16 11:38:17,168,184,196,197,99,100,100
2022-09-16 11:38:17,186,190,120,126,100,99,100
2022-09-16 11:38:17,144,139,182,101,99,99,101
2022-09-16 11:38:17,176,187,198,107,99,101,99
2022-09-16 11:38:17,112,111,142,137,101,99,101
2022-09-16 11:38:17,110,105,129,0,101,100,100
2022-09-16 11:38:17,197,154,148,131,101,101,99
2022-09-16 11:38:17,165,127,191,169,101,101,99
2022-09-16 11:38:17,167,135,173,123,100,100,99
2022-09-16 11:38:17,135,174,175,163,99,99,100
2022-09-16 11:38:17,171,187,134,101,101,101,101
2022-09-16 11:38:17,110,104,157,150,100,99,101
2022-09-16 11:38:17,163,100,102,130,99,100,99
2022-09-16 11:38:17,188,165,126,104,101,101,101
2022-09-16 11:38:17,165,126,109,185,101,99,101
2022-09-16 11:38:17,100,134,122,0,99,99,100
2022-09-16 11:38:17,157,160,117,150,99,100,101
2022-09-16 11:38:17,139,109,101,164,99,100,99
2022-09-16 11:38:17,144,116,104,106,100,101,100
2022-09-16 11:38:17,170,127,115,177,101,100,99
2022-09-16 11:38:17,154,144,152,190,100,101,100
2022-09-16 11:38:17,158,107,148,162,101,101,99
2022-09-16 11:38:17,127,103,129,157,101,100,101
2022-09-16 11:38:17,145,110,125,192,101,100,99
2022-09-16 11:38:17,150,124,151,124,99,99,99
2022-09-16 11:38:17,134,160,149,163,101,99,100
2022-09-16 11:38:17,141,157,199,0,101,99,100
2022-09-16 11:38:17,157,159,194,133,101,101,99
2022-09-16 11:38:17,111,149,150,187,99,100,101
2022-09-16 11:38:17,159,130,123,199,100,99,101
2022-09-16 11:38:17,120,192,120,119,101,101,100
2022-09-16 11:38:17,130,142,126,128,99,99,101
2022-09-16 11:38:17,162,113,103,0,101,100,101
2022-09-16 11:38:17,126,126,183,127,101,99,100
2022-09-16 11:38:17,102,134,105,113,100,101,100
2022-09-16 11:38:17,163,193,199,168,101,99,101
2022-09-16 11:38:17,145,128,138,108,101,100,100
2022-09-16 11:38:17,167,158,163,114,101,101,101
2022-09-16 11:38:17,175,166,150,182,99,99,101
2022-09-16 11:38:17,170,179,163,0,99,99,99
2022-09-16 11:38:17,198,114,148,169,101,101,101
2022-09-16 11:38:17,142,176,176,0,101,101,101
2022-09-16 11:38:17,193,152,182,121,101,100,101
2022-09-16 11:38:17,119,134,200,0,101,101,99
2022-09-16 11:38:17,168,158,102,0,100,100,100
2022-09-16 11:38:17,187,157,196,168,100,99,99
2022-09-16 11:38:17,125,145,126,135,101,99,101
2022-09-16 11:38:17,174,148,196,169,100,100,99
2022-09-16 11:38:17,142,127,188,138,99,100,99
2022-09-16 11:38:17,125,116,193,158,99,99,100
2022-09-16 11:38:17,133,114,152,172,100,100,100
2022-09-16 11:38:17,113,177,108,187,99,99,100
2022-09-16 11:38:17,141,108,127,151,101,101,100
2022-09-16 11:38:17,108,172,153,0,99,100,99
2022-09-16 11:38:17,146,184,111,153,101,100,101
2022-09-16 11:38:17,163,192,139,131,99,101,100
2022-09-16 11:38:17,117,200,175,159,100,100,101
2022-09-16 11:38:17,147,159,153,131,99,101,99
2022-09-16 11:38:17,187,176,112,118,101,99,101
2022-09-16 11:38:17,195,124,193,128,101,101,100
2022-09-16 11:38:17,173,159,138,162,99,100,99
2022-09-16 11:38:17,116,117,175,0,101,100,100
2022-09-16 11:38:17,164,134,117,194,100,101,100
2022-09-16 11:38:17,152,164,109,109,101,99,101
2022-09-16 11:38:17,159,120,157,107,99,99,100
2022-09-16 11:38:17,188,116,194,0,101,99,100
2022-09-16 11:38:17,134,107,175,0,101,100,99
2022-09-16 11:38:17,119,184,143,200,101,100,101
2022-09-16 11:38:17,183,191,144,187,99,101,101
2022-09-16 11:38:17,101,135,178,0,100,101,101
2022-09-16 11:38:17,198,145,182,168,99,99,100
2022-09-16 11:38:17,102,165,109,104,99,100,99
2022-09-16 11:38:17,113,192,168,106,100,99,99
2022-09-16 11:38:17,105,196,199,0,101,101,100
2022-09-16 11:38:17,108,115,200,154,99,100,100
2022-09-16 11:38:17,180,185,175,122,101,100,100
2022-09-16 11:38:17,142,121,159,101,101,99,99
2022-09-16 11:38:17,189,182,104,135,100,100,100
2022-09-16 11:38:17,171,169,149,101,100,100,100
2022-09-16 11:38:17,104,170,116,129,99,100,99
2022-09-16 11:38:17,177,158,184,118,101,101,101
2022-09-16 11:38:17,183,117,171,0,99,100,101
2022-09-16 11:38:17,136,194,133,146,101,99,99
2022-09-16 11:38:17,199,135,140,172,100,100,99
2022-09-16 11:38:17,124,177,193,0,101,99,100
2022-09-16 11:38:17,158,200,134,169,101,101,100
2022-09-16 11:38:17,103,187,181,169,99,99,99
2022-09-16 11:38:17,199,175,198,157,101,100,100
2022-09-16 11:38:17,196,107,115,159,99,99,99
2022-09-16 11:38:17,137,172,188,194,100,100,99
2022-09-16 11:38:17,111,116,170,195,101,99,100
2022-09-16 11:38:17,150,190,152,104,100,101,101
2022-09-16 11:38:17,128,116,158,171,101,100,100
2022-09-16 11:38:17,156,179,116,0,101,101,100
2022-09-16 11:38:17,115,198,152,104,101,101,100
2022-09-16 11:38:17,119,177,108,0,100,101,100
2022-09-16 11:38:17,129,176,177,147,101,100,101
